Anschrift,Ortskürzel,Streckennummer,Servicebezirk,Standortart,Ort_Lat,Ort_Lon,
Arnstein Reuchelheim BTS 19299,ARRG,5230  (Waigolshausen. W 6 - Gemünden (Main). W 111. G-Bahn),S-MUE-S5 (8S050). Regensburg. Servicebezirk,Mehrraum-Gebäudestandort,49.9697184791076,9.93277199088702,
Arnstein BTS 19095,ARSG,5230  (Waigolshausen. W 6 - Gemünden (Main). W 111. G-Bahn),S-MUE-S5 (8S050). Regensburg. Servicebezirk,Mehrraum-Gebäudestandort,49.9738849218191,9.97332631737206,
Alpirsbach Rötenbach BTS 24159,ARTB--G,4880  (Eutingen im Gäu. W 503 - Schiltach),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.3232101676462,8.39488676628102,
Alpirsbach Rötenbach BTS 24159,ARTB--G,4880  (Eutingen im Gäu. W 503 - Schiltach),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.3232101676462,8.39488676628102,
Aschendorf BTS 15781,ASDG,2931  (Hamm (Westf) - Emden Rbf),N-HAN-S3 (3S030). Osnabrück. Servicebezirk,Mehrraum-Gebäudestandort,53.0526020126128,7.33705432416808,
Leusel BTS 20558,ASFL--G,3700  (Gießen. W 46 - Fulda. W 283),W-ESB-S3 (6S030). Kassel. Servicebezirk,Mehrraum-Gebäudestandort,50.7489357368947,9.22555711933708,
Ascholtshausen BTS 17928,ASHN,5500  (München Hbf - Regensburg Hbf. W 106),Regensburg 4T090. Regensburg 4T090. Serviceteam,Mehrraum-Gebäudestandort,48.7886080372494,12.1911005644419,
Aschersleben BTS 17340,ASLG,6344  (Halle (Saale) Hbf. W 64 - Vienenburg),O-DRE-S4 (0S040). Leipzig. Servicebezirk,Mehrraum-Gebäudestandort,51.7604427581674,11.4598438847115,
Altstädten BTS 23470,ASNG,5402  (Immenstadt. W 24 - Oberstdorf. Gl 3),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,47.4983330744951,10.2813799126056,
Aßmushausen BTS 10455,ASSG,3600  (Frankfurt (Main) Hbf - Göttingen. W 251),W-ESB-S3 (6S030). Kassel. Servicebezirk,Mehrraum-Gebäudestandort,51.0107772156701,9.82252420024669,
Aschenstedt BTS 20472,ASTD--G,1560  (Delmenhorst. W 24 - Hesepe. W 101),N-HAN-S3 (3S030). Osnabrück. Servicebezirk,Mehrraum-Gebäudestandort,52.9384915304674,8.42599770294396,
Aitrang BSH ZBF/BTS 18177,ATG_,5362  (Buchloe - Lindau Hbf),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,47.8222211442541,10.5161026576952,
Altshausen BTS 24897,ATHA--G,4550  (Herbertingen. W 48 - Isny),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,47.9297212527363,9.56471497963101,
Marstetten Aitrach ZBF-Haus/ BTS 20728,ATRH,4570  (Leutkirch. W 7 - Memmingen. W 13),Augsburg 4T070. Augsburg 4T070. Serviceteam,Mehrraum-Gebäudestandort,47.9294435310085,10.0867418838452,
Attendorn BTS 25388,ATTE--G,2864  (Finnentrop - Freudenberg (Kr Siegen)),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.1241101284016,7.91401067412856,
Schnellenberg BTS 24913,ATTE-G2,2864  (Finnentrop - Freudenberg (Kr Siegen)),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.1312088717759,7.92639195801468,
Hohen Hagen BTS 24849,ATTH--G,2864  (Finnentrop - Freudenberg (Kr Siegen)),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.0922087995822,7.85610435588371,
Kraghammer BTS 25072,ATTK--G,2864  (Finnentrop - Freudenberg (Kr Siegen)),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.1085994940104,7.87360636895556,
Bausenberg Tunnel BTS 25344,ATTL--G,2864  (Finnentrop - Freudenberg (Kr Siegen)),W-ESN-S2 (5S020). Hagen-Süd. Servicebezirk,Mehrraum-Gebäudestandort,51.1055704723198,7.84916378118973,
Altentreptow BTS 15294,ATWG,6088  (Berlin-Gesundbrunnen. W 119 --Neubrandenbg-- - Stralsund),O-BLN-S3 (1S030). Schwerin. Servicebezirk,Mehrraum-Gebäudestandort,53.6958230714601,13.2433227893708,
Au/Sieg BTS 22435,AU_G,2651  (Köln Messe/Deutz - Gießen. W 303),Köln 3T070. Köln 3T070. Serviceteam,Mehrraum-Gebäudestandort,50.7738286544973,7.65755334794542,
Aulendorf ZBF-Haus/BTS 20744,AULG,4500  (Ulm Hbf. W 104 - Friedrichshafen Stadt. W 262),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,47.9366659536504,9.64221550520342,
Aulendorf ZBF-Haus/BTS 20744,AULG,4500  (Ulm Hbf. W 104 - Friedrichshafen Stadt. W 262),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,47.9366659536504,9.64221550520342,
